group,source,uncertainty_layer,count
source,rss-n10-p400000bar,,8
source,rss-n12-p400000bar,,2
source,rss-n15-p200000bar,,4
source,rss-n15-p400000bar,,17
source,rss-n18-p200000bar,,3
source,rss-n18-p400000bar,,8
source,rss-n20-p200000bar,,5
source,rss-n20-p400000bar,,13
source,rss-n22-p400000bar,,10
source,rss-n25-p200000bar,,3
source,rss-n25-p400000bar,,14
source,rss-n9-p200000bar,,3
source,rss-n9-p400000bar,,10
uncertainty_layer,,U-below-tail,98
uncertainty_layer,,U-ge-tail,2
source_layer,rss-n10-p400000bar,U-below-tail,8
source_layer,rss-n12-p400000bar,U-below-tail,2
source_layer,rss-n15-p200000bar,U-below-tail,4
source_layer,rss-n15-p400000bar,U-below-tail,17
source_layer,rss-n18-p200000bar,U-below-tail,3
source_layer,rss-n18-p400000bar,U-below-tail,8
source_layer,rss-n20-p200000bar,U-below-tail,5
source_layer,rss-n20-p400000bar,U-below-tail,12
source_layer,rss-n20-p400000bar,U-ge-tail,1
source_layer,rss-n22-p400000bar,U-below-tail,10
source_layer,rss-n25-p200000bar,U-below-tail,3
source_layer,rss-n25-p400000bar,U-below-tail,14
source_layer,rss-n9-p200000bar,U-below-tail,3
source_layer,rss-n9-p400000bar,U-below-tail,9
source_layer,rss-n9-p400000bar,U-ge-tail,1
